2455462.50246 18.701 0.043 5.16 492.0
2455463.63366 18.652 0.054 5.99 693.0
2455464.60143 18.541 0.050 6.89 549.0
2455465.51437 18.687 0.046 6.35 403.0
2455468.58051 18.640 0.049 6.62 431.0
2455471.55160 18.688 0.042 5.54 381.0
2455472.60149 18.616 0.043 6.12 455.0
2455480.52485 18.680 0.045 5.58 455.0
2455485.52625 18.530 0.044 5.22 596.0
2455487.50986 18.697 0.045 5.04 564.0
2455489.50878 18.691 0.051 5.48 606.0
2455492.53420 18.681 0.066 6.00 923.0
2455497.51739 18.697 0.047 5.47 555.0
2455598.86836 18.668 0.037 5.45 404.0
2455599.85849 18.704 0.037 4.69 396.0
2455600.85494 18.666 0.038 5.67 410.0
2455607.88362 18.680 0.033 3.90 494.0
2455614.88036 18.641 0.037 4.91 490.0
2455620.86042 18.683 0.036 5.01 392.0
2455624.82114 18.570 0.035 5.41 377.0
2455625.78321 18.563 0.044 6.79 441.0
2455627.80798 18.714 0.049 6.84 362.0
2455629.78734 18.591 0.038 6.12 341.0
2455630.77991 18.538 0.034 5.94 387.0
2455632.77661 18.778 0.060 7.45 607.0
2455634.76153 18.779 0.044 5.68 403.0
2455635.83405 18.637 0.046 6.73 383.0
2455638.75435 18.600 0.050 5.86 964.0
2455639.75577 18.653 0.047 5.09 692.0
2455639.83189 18.675 0.038 4.51 519.0
2455639.90760 18.593 0.038 5.51 541.0
2455640.76198 18.768 0.060 5.65 731.0
2455640.84324 18.627 0.047 5.83 548.0
2455641.76768 18.624 0.040 5.03 627.0
2455641.89247 18.675 0.043 6.88 479.0
2455642.83201 18.702 0.041 4.70 580.0
2455643.75879 18.577 0.041 4.95 698.0
2455643.85683 18.639 0.034 4.16 570.0
2455644.76271 18.623 0.075 5.88 1701.0
2455644.87770 18.605 0.037 4.99 610.0
2455648.74852 18.552 0.038 6.36 363.0
2455648.85506 18.723 0.034 4.93 337.0
2455649.75433 18.597 0.033 5.61 297.0
2455649.86097 18.600 0.031 5.64 295.0
